train_loss,epoch,step
0.44098806381225586,1,49
0.22800076007843018,3,99
0.16782037913799286,5,149
0.12929558753967285,7,199
0.1155451089143753,9,249
0.11071892827749252,11,299
0.09933717548847198,13,349
0.09575097262859344,15,399
0.0906059592962265,17,449
0.09871935844421387,19,499
0.19697576761245728,21,549
0.0687742680311203,23,599
0.07406941056251526,25,649
0.06965024769306183,27,699
0.058627717196941376,29,749
0.06550846993923187,31,799
0.061520569026470184,33,849
0.05776238441467285,35,899
