train_loss,epoch,step
5.913379669189453,0,49
5.715688705444336,0,99
6.583126068115234,0,149
5.811360836029053,0,199
5.995267391204834,1,249
6.809062480926514,1,299
5.273723125457764,1,349
5.8428473472595215,1,399
6.016316890716553,2,449
5.6997480392456055,2,499
5.897790908813477,2,549
5.012820243835449,2,599
5.392925262451172,3,649
5.036140441894531,3,699
5.757511138916016,3,749
5.107003211975098,3,799
5.347596168518066,4,849
5.449249267578125,4,899
5.59137487411499,4,949
7.4625468254089355,4,999
5.31758451461792,5,1049
5.30879020690918,5,1099
5.93221378326416,5,1149
6.444398403167725,5,1199
5.101484298706055,6,1249
5.450583457946777,6,1299
4.9883623123168945,6,1349
5.493887901306152,6,1399
5.7080793380737305,7,1449
4.76786470413208,7,1499
4.887297630310059,7,1549
5.987017631530762,7,1599
5.176055431365967,8,1649
6.092284202575684,8,1699
5.8902997970581055,8,1749
5.964349269866943,8,1799
6.875221252441406,9,1849
4.720736026763916,9,1899
5.321181774139404,9,1949
4.823630332946777,9,1999
