train_loss,epoch,step
0.41441625356674194,0,49
0.22925548255443573,1,99
0.16873383522033691,2,149
0.12135767936706543,3,199
0.1196523904800415,4,249
0.11828427016735077,5,299
0.11858612298965454,6,349
0.1459912657737732,7,399
0.253868967294693,8,449
0.07664233446121216,9,499
0.10239897668361664,10,549
0.07058747857809067,11,599
0.07068830728530884,12,649
0.09277929365634918,13,699
0.058012187480926514,14,749
0.08369791507720947,15,799
0.08074977993965149,16,849
0.10795988887548447,17,899
0.057595591992139816,18,949
0.10668359696865082,19,999
0.18530887365341187,20,1049
0.04784856736660004,21,1099
0.09547793865203857,22,1149
0.04710689187049866,23,1199
0.05914315581321716,24,1249
0.060840606689453125,25,1299
0.04695303365588188,26,1349
0.044830869883298874,27,1399
0.04345528036355972,28,1449
0.041738029569387436,29,1499
0.08240748941898346,30,1549
0.11202650517225266,31,1599
0.048847418278455734,32,1649
0.04714508354663849,33,1699
0.039808016270399094,34,1749
0.046923886984586716,35,1799
0.04647117480635643,36,1849
0.0466739647090435,37,1899
0.04926779866218567,38,1949
0.04648825526237488,39,1999
0.03887532651424408,40,2049
0.04228280484676361,41,2099
0.03329175338149071,42,2149
0.03595968708395958,43,2199
0.04458325356245041,44,2249
0.10199348628520966,45,2299
