train_loss,epoch,step
0.43977421522140503,1,49
0.22365014255046844,3,99
0.303611159324646,5,149
0.11733168363571167,7,199
0.13658598065376282,9,249
0.11964787542819977,11,299
0.20352081954479218,13,349
0.11307387799024582,15,399
0.07917683571577072,17,449
0.07073013484477997,19,499
0.08142393827438354,21,549
0.12872570753097534,23,599
0.07567490637302399,25,649
0.24443572759628296,27,699
0.07049250602722168,29,749
0.0817171037197113,31,799
0.07194086164236069,33,849
0.1394694298505783,35,899
0.1084359884262085,37,949
0.05347185954451561,39,999
0.05609600991010666,41,1049
0.12080727517604828,43,1099
0.060378916561603546,45,1149
0.05760473757982254,47,1199
0.11491521447896957,49,1249
0.04504542797803879,51,1299
0.08923657983541489,53,1349
0.0726415291428566,55,1399
0.05552246421575546,57,1449
0.05778297781944275,59,1499
0.04694489389657974,61,1549
0.059856873005628586,63,1599
0.051461465656757355,65,1649
0.03922968730330467,67,1699
0.04877521097660065,69,1749
0.04006088525056839,71,1799
0.07221293449401855,73,1849
0.08235287666320801,75,1899
