train_loss,epoch,step
7.3258161544799805,0,49
6.605414867401123,0,99
7.493054389953613,0,149
6.118273735046387,0,199
6.3809099197387695,1,249
6.498429298400879,1,299
6.692216396331787,1,349
6.518224239349365,1,399
6.163678169250488,2,449
6.352541923522949,2,499
8.339717864990234,2,549
5.829380035400391,2,599
6.649452209472656,3,649
7.302849769592285,3,699
6.879600524902344,3,749
6.966193199157715,3,799
5.791843414306641,4,849
6.377004146575928,4,899
7.027569770812988,4,949
6.599078178405762,4,999
6.343814849853516,5,1049
5.868277549743652,5,1099
6.3354034423828125,5,1149
6.664708614349365,5,1199
5.6291422843933105,6,1249
6.455422401428223,6,1299
6.371722221374512,6,1349
7.551900386810303,6,1399
7.003615856170654,7,1449
6.0951247215271,7,1499
6.391444206237793,7,1549
6.6171417236328125,7,1599
5.883622169494629,8,1649
5.947357177734375,8,1699
6.068301200866699,8,1749
6.546398162841797,8,1799
5.771812438964844,9,1849
6.216165542602539,9,1899
6.75974178314209,9,1949
5.963376998901367,9,1999
